model,family,input_window,output_window,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,n_train_samples,epochs_run,best_epoch,hit_epoch_limit,seconds,seed,best_baseline,dm_statistic,dm_p_value,params_to_samples,exceeds_param_rule
zero_return,baseline,5,90,0.001338161277964033,0.0009856276734413428,0.0013258779188293499,0.0,0,13045,,,False,0.0,,historical_mean,1.7576815473017633,0.07899173093427594,0.0,False
window_mean,baseline,5,90,0.005660357113089645,0.004222923288483942,0.00576377896533243,0.4964780179742531,0,13045,,,False,0.0,,historical_mean,10.689181661720756,8.203445474825013e-26,0.0,False
historical_mean,baseline,5,90,0.0012672326379313556,0.0009243718787216577,0.00126855664939354,0.6322564974495992,23,13045,,,False,0.0,,historical_mean,0.0,1.0,0.0017631276351092373,False
linear_regression,baseline,5,90,0.0012622953617637475,0.0009307871107726614,0.001277002068173095,0.6248886729819448,2668,13045,,,False,0.0,,historical_mean,2.0083835954569005,0.04476927988376098,0.20452280567267153,True
mlp_small,dense,5,90,0.00125959590350048,0.0009383777243122795,0.001283134311651544,0.6194370226432407,4471,13045,31.0,6.0,False,9.6,42.0,historical_mean,1.7934736442281027,0.0730848345946757,0.3427366807205826,True
mlp_deep,dense,5,90,0.0012647247630667429,0.0009248613949531706,0.00126719797828449,0.6318516719293984,10263,13045,27.0,2.0,False,10.3,42.0,historical_mean,-0.2558828939867185,0.7980739514294122,0.7867382138750479,True
lstm,recurrent,5,90,0.0012581516879878187,0.0009310448809185595,0.001274617587350463,0.6301244163765417,7927,13045,27.0,2.0,False,14.0,42.0,historical_mean,0.8219319128924881,0.4112373505742649,0.6076657723265619,True
gru,recurrent,5,90,0.001256320396964714,0.0009342941057096655,0.0012799848974710658,0.6256983240223464,6231,13045,28.0,3.0,False,15.8,42.0,historical_mean,1.581080223558036,0.11405611584819816,0.47765427366807206,True
cnn,convolutional,5,90,0.0012517774193597183,0.0009371240962768202,0.0012891051007041395,0.6133916282082422,3095,13045,32.0,7.0,False,14.8,42.0,historical_mean,2.189026434865445,0.02873809238017599,0.23725565350709085,True
cnn_deep,convolutional,5,90,0.0012512727872500428,0.0009298300994906142,0.0012789678108443931,0.6256983240223464,9815,13045,31.0,6.0,False,17.6,42.0,historical_mean,1.2989226279195416,0.19415647590271598,0.7523955538520506,True
conv_gru,mixed,5,90,0.0012644788725378238,0.0009268286756501171,0.0012673747820206415,0.6322834858176126,10487,13045,26.0,1.0,False,17.5,42.0,historical_mean,-0.28629146138948147,0.7746917307195899,0.8039095438865466,True
multibranch,mixed,5,90,0.0012665285149328638,0.0009263288503955151,0.001268872479552752,0.6306641837368094,10471,13045,26.0,2.0,False,18.8,42.0,historical_mean,0.10232826858761475,0.9185088608181262,0.8026830203142966,True
buy_and_hold,baseline,10,1,0.016713757257505218,0.013061690864956446,0.01785035655821048,0.49626533638937576,0,13113,,,False,0.0,,historical_mean,27.903022042147054,3.272811565350181e-140,0.0,False
zero_return,baseline,10,1,0.01182377544523429,0.009028296239817497,0.012298864962933411,0.0,0,13113,,,False,0.0,,historical_mean,2.4296837477837814,0.015220186810023692,0.0,False
window_mean,baseline,10,1,0.012598748494107264,0.009629314686822292,0.012994026688471022,0.500364028582985,0,13113,,,False,0.0,,historical_mean,11.442440947607414,3.294847363214917e-29,0.0,False
historical_mean,baseline,10,1,0.011847398618210237,0.00901258810304714,0.012286129007217813,0.5243629499797762,23,13113,,,False,0.0,,historical_mean,0.0,1.0,0.00175398459543964,False
linear_regression,baseline,10,1,0.011793243792623767,0.009236784752949364,0.012613699417631238,0.5038694890117298,5313,13113,,,False,0.0,,historical_mean,9.990613960580431,7.573490336749066e-23,0.40517044154655685,True
mlp_small,dense,10,1,0.011709102212952264,0.009146801030521236,0.012521605148579763,0.5021437238775786,8151,13113,32.0,8.0,False,10.2,42.0,historical_mean,9.42402120364759,1.4449388358646008e-20,0.6215968885838481,True
mlp_deep,dense,10,1,0.011829864235529152,0.009024955896672768,0.012301116903930725,0.5093973304570582,17623,13113,27.0,2.0,False,10.7,42.0,historical_mean,3.4197251422649257,0.0006424182905091487,1.343933501105773,True
lstm,recurrent,10,1,0.011823655564632468,0.009054846217897851,0.012312618637052672,0.5083996224888769,7927,13113,28.0,4.0,False,18.1,42.0,historical_mean,2.9992375229863506,0.00274787963317422,0.604514603828262,True
gru,recurrent,10,1,0.011791840969071857,0.009066392081956427,0.012344074723693562,0.5127949305649184,6231,13113,32.0,7.0,False,22.4,42.0,historical_mean,4.709756126747518,2.692162143039287e-06,0.475177304964539,True
cnn,convolutional,10,1,0.011827512851389716,0.00905960201314611,0.012357315113237278,0.5069165430767156,3095,13113,38.0,16.0,False,18.7,42.0,historical_mean,4.931818351011533,8.984213036830486e-07,0.23602531838633417,True
cnn_deep,convolutional,10,1,0.011820260019436438,0.00903427655247193,0.01231650347185628,0.5064311716327357,9815,13113,30.0,5.0,False,18.9,42.0,historical_mean,4.313189567402839,1.7064081305849194e-05,0.7484938610539159,True
conv_gru,mixed,10,1,0.011825878858129187,0.009025774359544035,0.012296211307948581,0.498934879331266,10487,13113,26.0,9.0,False,19.9,42.0,historical_mean,2.157653783835311,0.031101542684484448,0.7997407153206741,True
multibranch,mixed,10,1,0.011823440865644453,0.009031095667537029,0.012299285826130546,0.5083726574086558,12311,13113,27.0,2.0,False,21.1,42.0,historical_mean,2.6186115556069933,0.00891127158006064,0.9388393197590178,True
buy_and_hold,baseline,10,5,0.013256238787847272,0.010123855660442795,0.013707730293212674,0.49791605044502407,0,13110,,,False,0.0,,historical_mean,27.05878647713204,2.472605931432669e-133,0.0,False
zero_return,baseline,10,5,0.005481688335217056,0.00416424760221642,0.005621062853733353,0.0,0,13110,,,False,0.0,,historical_mean,2.319277958419904,0.020503956362472507,0.0,False
window_mean,baseline,10,5,0.00685493979219015,0.005276961066626627,0.006931576688690576,0.5017612734948507,0,13110,,,False,0.0,,historical_mean,12.879070149156643,3.321283445344681e-36,0.0,False
historical_mean,baseline,10,5,0.0054728033397189926,0.004134592497875512,0.005600023981312196,0.5417999946220656,23,13110,,,False,0.0,,historical_mean,0.0,1.0,0.0017543859649122807,False
linear_regression,baseline,10,5,0.005417240039488137,0.004210087623154341,0.005720519132837725,0.5115222243136411,5313,13110,,,False,0.0,,historical_mean,7.0562594361208895,2.5272870205356114e-12,0.4052631578947368,True
mlp_small,dense,10,5,0.005384778636634451,0.004188469140318138,0.005705504721156152,0.5098281749979833,8151,13110,32.0,7.0,False,9.8,42.0,historical_mean,7.619855460958502,4.29845675055735e-14,0.6217391304347826,True
mlp_deep,dense,10,5,0.005470882216469948,0.0041383685454689095,0.005602431997734171,0.5402403936647934,17623,13110,27.0,3.0,False,10.6,42.0,historical_mean,1.652636215474751,0.09859893590453792,1.3442410373760487,True
lstm,recurrent,10,5,0.0054451277189595595,0.004159305223995828,0.0056214783706803,0.5230578934631208,7927,13110,27.0,2.0,False,17.0,42.0,historical_mean,2.2803134218058068,0.022718679062593238,0.60465293668955,True
gru,recurrent,10,5,0.005441785629164613,0.004165494185892106,0.0056311199285211085,0.5250746188389039,6231,13110,28.0,3.0,False,19.6,42.0,historical_mean,3.2426661958077014,0.0012082877048168654,0.47528604118993134,True
